date,avg_temp,min_temp,max_temp,cnt
2018-05-09,28.0,28,28,8
2018-06-09,28.0125,28,29,240
2018-10-08,28.60452961672474,28,30,574
2018-04-12,28.74251497005988,28,31,167
2018-09-09,29.103395061728396,28,32,1296
