date,avg_temp,min_temp,max_temp,cnt
2018-11-08,32.89922480620155,32,33,129
2018-03-09,32.017357762777245,31,33,1037
2018-04-11,31.940217391304348,31,33,184
2018-05-11,31.94,31,32,50
2018-12-10,31.727272727272727,30,33,11
